date,rule,stage,wepon,win,up,down,point
2022-04-25,ガチヤグラ,ザトウマーケット,ボールドマーカー7,FALSE,5,12,1149
2022-04-25,ガチヤグラ,ハコフグ倉庫,ボールドマーカー7,FALSE,1,4,211
2022-04-25,ガチヤグラ,ハコフグ倉庫,ボールドマーカー7,FALSE,5,8,817
2022-04-25,ガチヤグラ,ハコフグ倉庫,ボールドマーカー7,FALSE,1,5,747
2022-04-25,ガチヤグラ,ザトウマーケット,ボールドマーカー7,TRUE,5,9,1457
2022-04-25,ガチヤグラ,ザトウマーケット,ボールドマーカー7,FALSE,6,10,915
2022-04-25,ガチヤグラ,ザトウマーケット,ボールドマーカー7,TRUE,4,10,947
2022-04-25,ガチヤグラ,ザトウマーケット,ボールドマーカー7,TRUE,3,13,969
2022-04-25,ガチホコ,Bバスパーク,ボールドマーカー7,TRUE,3,1,563
2022-04-25,ガチホコ,Bバスパーク,ボールドマーカー7,FALSE,8,10,1175
2022-04-25,ガチホコ,Bバスパーク,ボールドマーカー7,TRUE,6,7,1268
2022-04-25,ガチホコ,アジフライスタジアム,ボールドマーカー7,FALSE,8,11,1006
2022-04-25,ガチホコ,Bバスパーク,ボールドマーカー7,FALSE,3,7,622
2022-04-25,ガチホコ,アジフライスタジアム,ボールドマーカー7,TRUE,9,8,1105
2022-04-25,ガチホコ,アジフライスタジアム,ボールドマーカー7,TRUE,7,10,1205
2022-04-25,ガチホコ,Bバスパーク,シャープマーカーネオ,TRUE,7,5,1361
2022-04-25,ガチホコ,Bバスパーク,シャープマーカーネオ,FALSE,5,9,1049
2022-04-25,ガチヤグラ,ホッケふ頭,シャープマーカーネオ,FALSE,2,9,923
2022-04-25,ガチヤグラ,ホッケふ頭,シャープマーカーネオ,FALSE,5,10,1088
2022-04-25,ガチヤグラ,ホッケふ頭,シャープマーカーネオ,FALSE,6,9,1036
2022-04-25,ガチヤグラ,ガンガゼ野外音楽堂,ボールドマーカー7,TRUE,9,10,991
2022-04-26,ガチエリア,エンガワ河川敷,シャープマーカーネオ,TRUE,9,6,1405
2022-04-26,ガチエリア,エンガワ河川敷,N-ZAP89,TRUE,5,2,614
2022-04-26,ガチエリア,エンガワ河川敷,N-ZAP89,FALSE,8,9,1293
2022-04-26,ガチエリア,エンガワ河川敷,N-ZAP89,TRUE,4,5,869
2022-04-26,ガチエリア,エンガワ河川敷,N-ZAP89,TRUE,4,6,1062
2022-04-26,ガチエリア,コンブトラック,N-ZAP89,FALSE,2,9,1223
2022-04-26,ガチエリア,コンブトラック,N-ZAP89,FALSE,8,9,1259
2022-04-26,ガチエリア,コンブトラック,N-ZAP89,FALSE,3,5,625
2022-04-26,ガチエリア,コンブトラック,N-ZAP89,FALSE,3,9,736
2022-04-26,ガチエリア,コンブトラック,ハイドラントカスタム,FALSE,3,6,633
2022-04-26,ガチホコ,チョウザメ造船,N-ZAP89,FALSE,5,9,1194
2022-04-26,ガチホコ,Bバスパーク,N-ZAP89,FALSE,3,6,535
2022-04-26,ガチホコ,チョウザメ造船,ホクサイベッチュー,TRUE,13,11,777
2022-04-26,ガチホコ,チョウザメ造船,ホクサイベッチュー,TRUE,9,10,772
2022-04-26,ガチホコ,チョウザメ造船,ホクサイベッチュー,TRUE,1,5,252
2022-04-26,ガチホコ,Bバスパーク,ホクサイベッチュー,TRUE,7,10,726
2022-04-26,ガチホコ,Bバスパーク,ホクサイベッチュー,FALSE,14,9,866
2022-04-26,ガチホコ,チョウザメ造船,ホクサイベッチュー,TRUE,11,8,843
