stage,win,up,down,point
Bバスパーク,False,8.1,7.9,780.6
Bバスパーク,True,6.6,5.8,986.8
アジフライスタジアム,False,8.0,11.0,1006.0
アジフライスタジアム,True,8.0,9.0,1155.0
アロワナモール,False,4.8,7.0,573.5
アロワナモール,True,7.0,7.0,754.0
アンチョビットゲームズ,False,5.3,7.7,529.0
エンガワ河川敷,False,7.6,8.2,829.2
エンガワ河川敷,True,8.0,7.9,899.6
ガンガゼ野外音楽堂,False,6.0,6.6,410.0
ガンガゼ野外音楽堂,True,8.5,7.7,771.3
コンブトラック,False,6.0,8.4,813.9
コンブトラック,True,8.7,9.5,939.7
ザトウマーケット,False,5.5,11.0,1032.0
ザトウマーケット,True,4.0,10.7,1124.3
スメーシーワールド,False,7.2,8.0,887.2
スメーシーワールド,True,4.7,5.9,763.9
タチウオバーキング,False,3.0,6.0,1166.0
チョウザメ造船,False,6.1,8.6,704.8
チョウザメ造船,True,8.5,8.5,661.0
デボン海洋博物館,False,7.8,7.4,632.4
デボン海洋博物館,True,9.0,5.5,730.5
ハコフグ倉庫,False,4.0,6.8,599.8
ハコフグ倉庫,True,7.6,5.0,500.4
バッテラストリート,False,3.4,6.6,742.6
バッテラストリート,True,6.4,3.7,732.5
フジツボスポーツクラブ,False,8.0,7.6,883.4
フジツボスポーツクラブ,True,4.4,4.8,620.2
ホッケふ頭,False,3.4,6.7,776.4
ホッケふ頭,True,6.2,4.3,824.3
ホテルニューオートロ,False,4.0,6.0,653.7
ホテルニューオートロ,True,7.9,6.5,715.8
マンタマリア号,False,1.7,5.7,558.3
マンタマリア号,True,5.0,9.0,1001.0
ムツゴ楼,False,3.8,6.2,969.3
ムツゴ楼,True,6.0,3.0,593.8
モンガラキャンプ場,False,8.8,9.0,682.8
モンガラキャンプ場,True,12.5,6.5,933.0
海女美術大学,False,5.6,9.1,683.7
海女美術大学,True,8.8,8.8,865.2
