stage,win,count
Bバスパーク,False,14
Bバスパーク,True,5
アジフライスタジアム,False,1
アジフライスタジアム,True,2
アロワナモール,False,11
アロワナモール,True,1
アンチョビットゲームズ,False,3
エンガワ河川敷,False,13
エンガワ河川敷,True,8
ガンガゼ野外音楽堂,False,5
ガンガゼ野外音楽堂,True,6
コンブトラック,False,14
コンブトラック,True,6
ザトウマーケット,False,2
ザトウマーケット,True,3
スメーシーワールド,False,4
スメーシーワールド,True,7
チョウザメ造船,False,8
チョウザメ造船,True,4
デボン海洋博物館,False,5
デボン海洋博物館,True,2
ハコフグ倉庫,False,4
ハコフグ倉庫,True,5
バッテラストリート,False,3
バッテラストリート,True,4
フジツボスポーツクラブ,False,2
フジツボスポーツクラブ,True,4
ホッケふ頭,False,3
ホッケ埠頭,False,2
ホッケ埠頭,True,1
ホテルニューオートロ,False,3
ホテルニューオートロ,True,8
ムツゴ楼,False,3
モンガラキャンプ場,False,5
モンガラキャンプ場,True,2
海女美術大学,False,4
海女美術大学,True,3
